Sentiment,SentimentText
1,สอบถามหน่อยค่ะ ส่งของไปชุมพรได้ไหมคะ งดรับพัสดุไหมคะ
1,เมนูหลัก
1,hello
1,Track and Trace
1,พึงพอใจมาก
1,บริการ
1,"เปลี่ยนที่อยู่ผู้รับ
"
1,ตรวจสอบค่าพัสดุ
1,พึงพอใจ
1,ต้องการตรวจสอบสถานะ
1,เปลี่ยนที่อยู่ผู้รับ
1,เรียกรถเข้ารับพัสดุ
0,ไม่พึงพอใจ
1,จุดให้บริการ
1,บริการจากเรา
1,ติดตามสถานะพัสดุ
1,อยากทราบที่อยู่ที่เคยส่งไปได้ไหมค่ะ  แบบละเอียด
1,มาส่ง กรุนาโทรมาก่อนนะครับ
0,ไม่สามารถติดตามพัสดุ
1,Services
1,ส่งไปชุมพร
1,ตอนนี้อยู่ภาคกลางแล้วทำไงได้บ้าง
1,ต้องการเปลี่ยนที่อยู่ผู้รับ
1,งดบริการเรียกรถเข้ารับพัสดุชั่วคราว
1,รับสมัครพนักงานคััดเเยกพัสดุเปล่าครับ
1,สวัสดีครับ
0,ผมรออาหารแมว ไม่มาส่งเลยครับ
1,อยากทราบว่า ถ้าส่งพัสดุจากสมุทรปราการ มาลำพูนใช้เวลากี่วันคะ สถานะตอนเช็คล่าสุดคือรอจัดส่ง
1,คับ
1,ค้นหาสาขาใกล้คุณ
0,ทำไมขึ้นว่าที่อยู่ผิด ปกติส่งมาถูกนะ งง แล้วไม่มีการโทมาสอบถามตามเบอที่เขียนไว้หรอ
0,ทำไมของถึงส่งช้าจังเลย
0,ไม่ทราบหมายเลขค่ะ
1,โปรโมชั่น
1,พอดีเปลี่ยนเบอร์โทรศัพท์แล้ว แต่เผลอใส่เบอร์เก่าไปทำไงยังได้บ้างคะ
0,ไม่ได้รับสินค้า
1,รับ฿200 สำหรับผู้ใช้ใหม่ใน Lazada อย่าพลาดของขวัญจากเพื่อนของคุณ! | https://s.lazada.co.th/s.4PwB7
1,Drop off ใกล้ฉัน
1,สาขา drop off
1,ขอเลื่อนรับพัสดุได้ไหมครัง
1,ขอเลื่อนวันรับพัสดุได้ไหมครับ
1,ขอเลื่อนรับพัสดุได้ไหมครับ
1,ขอเลื่อนการรับพัสดุครับ
1,083516¹99
1,__NA_@JMP_MsgOtherServiceClaim_1|ขั้นตอนการเคลมพัสดุ
1,แจ้งเคลมพัสดุ
1,ต้องการรับของเอง วามารถติดต่อเจ้าที่ฝ่ายไหนได้คะ
1,ต้องการแจ้งเคลมพัสดุ
1,บริการอื่นๆ
